seedling_id,sample_id,seed_weight_g,seed_notes,husk_number,seed_number
1162,B34-1,0.0549,NA,NA,NA
1164,B34-3,0.0592,NA,NA,NA
1169,B34-8,0.038,NA,NA,NA
1174,B35-4,0.0937,NA,NA,9
1176,B35-6,0.0653,NA,NA,11
1179,B35-9,0.1842,NA,NA,16
1270,B46-1,NA,NA,4,NA
1271,B46-2,NA,NA,4,NA
1274,B46-5,NA,NA,6,NA
1185,B36-6,0.228,NA,NA,17
1188,B36-9,0.4595,NA,NA,35
1192,B37-4,0.0255,NA,NA,3
1193,B37-5,0.04,NA,NA,4
1195,B37-7,0.037,NA,NA,4
1197,B37-9,0.0263,NA,NA,3
1198,B37-10,0.0318,NA,NA,3
1199,B37-11,0.0409,NA,NA,2
1201,B38-1,0.1522,NA,NA,10
1205,B38-5,0.1016,NA,NA,9
1208,B38-8,0.1105,NA,NA,8
1211,B38-11,0.1435,NA,NA,12
1212,B38-12,0.1126,NA,NA,9
1214,B39-2,0.1791,NA,NA,15
1215,B39-3,0.1462,NA,NA,14
1220,B39-8,0.1508,NA,NA,17
1221,B39-9,0.1018,NA,NA,11
1222,B39-10,0.2296,NA,NA,20
1224,B39-12,0.2049,NA,NA,18
1230,B40-6,0.0421,NA,NA,NA
1231,B40-7,0.046,NA,NA,NA
1232,B40-8,0.0346,NA,NA,NA
1239,B41-3,0.131,NA,NA,NA
1247,B41-11,0.1553,NA,NA,NA
1248,B41-12,0.1357,NA,NA,NA
1251,B42-3,0.3797,NA,NA,NA
1254,B42-6,0.2178,NA,NA,NA
1259,B42-11,0.3461,NA,NA,NA
1261,B43-1,0.0498,NA,22,8
1262,B43-2,NA,NA,8,NA
1263,B43-3,0.0292,NA,16,5
1264,B44-1,NA,NA,22,NA
1265,B44-2,0.003,NA,14,1
1266,B44-3,0.2096,NA,22,17
1267,B45-1,0.0406,NA,32,1
1268,B45-2,0.0672,NA,50,12
1269,B45-3,0.4781,NA,74,34
1272,B46-3,0.0045,NA,4,1
1273,B46-4,0.0139,NA,10,2
1275,B46-6,0.0165,NA,4,2
1276,B47-1,NA,NA,12,NA
1277,B47-2,0.0541,NA,10,8
1278,B47-3,0.1291,NA,14,10
1279,B47-4,0.009,NA,6,2
1280,B47-5,0.0518,NA,14,4
1281,B47-6,NA,NA,14,NA
1282,B48-1,0.0055,NA,34,1
1283,B48-2,0.0165,NA,26,1
1284,B48-3,0.0207,NA,19,1
1285,B48-4,NA,NA,18,NA
1286,B48-5,NA,NA,26,0
1287,B48-6,0.0113,NA,NA,1
1288,B49-1,NA,NA,4,NA
1289,B49-2,NA,NA,4,NA
1290,B49-3,NA,NA,4,NA
1291,B49-4,NA,NA,4,NA
1292,B49-5,0.0036,NA,4,1
1293,B49-6,0.0073,NA,4,1
1294,B49-7,NA,NA,4,NA
1295,B49-8,NA,NA,2,NA
1296,B49-9,NA,NA,4,NA
1297,B50-1,0.0292,NA,12,3
1298,B50-2,NA,NA,8,NA
1299,B50-3,NA,NA,10,NA
1300,B50-4,0.008,NA,NA,1
1301,B50-5,0.0797,NA,8,8
1302,B50-6,0.0042,NA,14,1
1303,B50-7,0.0366,NA,8,3
1304,B50-8,NA,NA,6,NA
1305,B50-9,0.036,NA,12,4
1306,B51-1,NA,NA,19,NA
1307,B51-2,0.0237,NA,4,2
1308,B51-3,0.0677,NA,20,16
1309,B51-4,NA,NA,8,NA
1310,B51-5,NA,NA,20,NA
1311,B51-6,NA,NA,14,NA
1313,B51-8,NA,NA,18,NA
1314,B51-9,NA,NA,16,NA
1315,B52-1,NA,NA,4,NA
1316,B52-2,0.012,NA,2,1
1317,B52-3,NA,NA,2,NA
1318,B52-4,0.0114,NA,NA,1
1319,B52-5,NA,NA,2,NA
1320,B52-6,NA,NA,4,NA
1321,B52-7,NA,NA,2,NA
1322,B52-8,0.0088,NA,NA,1
1323,B52-9,NA,NA,4,NA
1324,B52-10,0.0034,NA,NA,1
1325,B52-11,NA,NA,4,NA
1326,B52-12,0.008,NA,NA,1
1327,B53-1,NA,NA,6,NA
1328,B53-2,0.0096,NA,8,1
1329,B53-3,0.015,NA,6,1
1330,B53-4,NA,NA,7,NA
1331,B53-5,NA,NA,6,NA
1332,B53-6,NA,NA,6,NA
1333,B53-7,NA,NA,8,8
1334,B53-8,NA,NA,4,NA
1335,B53-9,0.0066,NA,6,1
1336,B53-10,NA,NA,12,5
1337,B53-11,NA,NA,12,5
1338,B53-12,0.0088,NA,8,2
1339,B54-1,NA,NA,12,0
1340,B54-2,NA,NA,10,0
1341,B54-3,NA,NA,16,0
1343,B54-5,0.0528,NA,16,8
1344,B54-6,NA,NA,6,0
1345,B54-7,0.0238,NA,10,1
1346,B54-8,0.0264,NA,12,1
1347,B54-9,0.0621,NA,18,9
1348,B54-10,NA,NA,12,0
1349,B54-11,NA,NA,18,0
1350,B54-12,NA,NA,10,0
1351,B55-1,0.0323,NA,10,4
1355,B55-5,NA,NA,4,0
1356,B55-6,NA,NA,4,0
1357,B56-1,NA,NA,8,NA
1358,B56-2,0.054,NA,NA,NA
1360,B56-4,NA,NA,13,4
1362,B56-6,0.0238,NA,38,4
1363,B57-1,0.0228,NA,14,1
1365,B57-3,0.2508,NA,64,21
1367,B57-5,0.0464,NA,28,1
1370,B58-2,NA,NA,6,NA
1372,B58-4,0.0317,NA,6,4
1373,B58-5,0.0082,NA,4,1
1375,B58-7,NA,NA,4,NA
1376,B58-8,NA,NA,4,1
1377,B58-9,NA,NA,4,NA
1378,B59-1,0.016,NA,8,1
1380,B59-3,0.0178,NA,12,1
1381,B59-4,NA,NA,8,0
1382,B59-5,0.0289,NA,22,6
1383,B59-6,0.034,NA,14,5
1384,B59-7,NA,NA,16,0
1388,B60-2,NA,NA,12,0
1389,B60-3,0.0358,NA,16,1
1391,B60-5,0.0232,NA,14,1
1392,B60-6,NA,NA,10,0
1394,B60-8,NA,NA,12,0
1395,B60-9,NA,NA,20,0
1396,B61-1,0.0075,NA,4,1
1397,B61-2,NA,NA,4,0
1399,B61-4,NA,NA,4,0
1400,B61-5,NA,NA,2,0
1402,B61-7,NA,NA,4,0
1403,B61-8,0.0198,NA,4,1
1405,B61-10,0.0105,NA,10,2
1406,B61-11,0.0135,NA,10,3
1407,B61-12,NA,NA,2,0
1410,B62-3,0.0109,NA,6,1
1411,B62-4,NA,NA,10,3
1412,B62-5,NA,NA,10,2
1414,B62-7,0.0314,NA,NA,3
1415,B62-8,NA,NA,14,4
1416,B62-9,NA,NA,4,NA
