block,pot,position,sample_id,species,seedling_id,seed_weight_g,seed_number,seed_notes
A,53,9,A53-9,ABAR,435,,,
A,53,10,A53-10,ABAR,436,0.048,2,
A,53,11,A53-11,ABAR,437,0.0149,3,
A,53,12,A53-12,ABAR,438,,,
A,54,1,A54-1,ABAR,439,,,
A,54,2,A54-2,ABAR,440,0.0209,4,
A,54,3,A54-3,ABAR,441,,,
A,54,4,A54-4,ABAR,442,0.0205,6,
A,54,5,A54-5,ABAR,443,,,
A,54,6,A54-6,ABAR,444,,,
A,54,7,A54-7,ABAR,445,,,
A,54,8,A54-8,ABAR,446,,,
A,54,9,A54-9,ABAR,447,0.0423,4,
A,54,10,A54-10,ABAR,448,0.0356,11,
A,54,11,A54-11,ABAR,449,,,
A,54,12,A54-12,ABAR,450,,,
A,55,1,A55-1,ABAR,451,,,
A,55,2,A55-2,ABAR,452,0.0049,1,
A,55,3,A55-3,ABAR,453,,,
A,55,4,A55-4,ABIG,454,,,
A,55,5,A55-5,RCAES,455,,,
A,55,6,A55-6,PLAB,456,,,
A,56,1,A56-1,RCAES,457,,,
A,56,2,A56-2,ABAR,458,0.0166,2,
A,56,3,A56-3,ABIG,459,,,
A,56,4,A56-4,ABAR,460,,,
A,56,5,A56-5,ABAR,461,0.0458,6,
A,56,6,A56-6,PLAB,462,,,
A,57,1,A57-1,ABAR,463,0.1841,14,
A,57,2,A57-2,ABAR,464,0.1377,12,
A,57,3,A57-3,PLAB,465,,,
A,57,4,A57-4,RCAES,466,,,
A,57,5,A57-5,ABIG,467,,,
A,57,6,A57-6,ABAR,468,0.0895,8,
A,58,1,A58-1,ABAR,469,0.0049,1,
A,58,2,A58-2,PLAB,470,,,
A,58,3,A58-3,ABIG,471,,,
A,58,4,A58-4,ABAR,472,0.0186,2,
A,58,5,A58-5,RCAES,473,,,
A,58,6,A58-6,ABAR,474,0.0042,2,
A,58,7,A58-7,ABAR,475,0.0145,3,
A,58,8,A58-8,ABAR,476,0.009,3,
A,58,9,A58-9,ABAR,477,0.0064,2,
A,59,1,A59-1,ABAR,478,0.0939,9,
A,59,2,A59-2,ABAR,479,0.021,3,
A,59,3,A59-3,ABAR,480,0.0168,2,
A,59,4,A59-4,ABAR,481,0.0109,3,
A,59,5,A59-5,ABAR,482,0.0125,2,
