seedling_id,sample_id,biomass_weight_g,weight_notes
760,A90-4,0.2861,NA
761,A90-5,0.2012,NA
762,A90-6,0.2736,NA
763,A90-7,0.3407,NA
764,A90-8,0.2288,NA
765,A90-9,0.1859,NA
766,A91-1,0.0311,NA
767,A91-2,0.0231,NA
768,A91-3,0.0394,NA
769,A91-4,0.0246,NA
770,A91-5,0.0374,NA
771,A91-6,0.0257,NA
772,A91-7,0.06,NA
773,A91-8,0.0094,NA
774,A91-9,0.0596,NA
775,A91-10,0.0482,NA
776,A91-11,0.0328,NA
777,A91-12,0.0244,NA
778,A92-1,0.1504,NA
779,A92-2,0.1511,NA
780,A92-3,0.1228,NA
781,A92-4,0.1409,NA
782,A92-5,0.0756,NA
783,A92-6,0.1035,NA
784,A92-7,0.0835,NA
785,A92-8,0.182,NA
786,A92-9,0.1644,NA
787,A92-10,0.1596,NA
788,A92-11,0.1154,NA
789,A92-12,0.1605,NA
790,A93-1,0.2962,NA
791,A93-2,0.2235,NA
792,A93-3,0.1622,NA
793,A93-4,0.238,NA
794,A93-5,0.2155,NA
795,A93-6,0.1407,NA
796,A93-7,0.1575,NA
797,A93-8,0.2435,NA
798,A93-9,0.3051,NA
799,A93-10,0.1243,NA
800,A93-11,0.2728,NA
801,A93-12,0.2434,NA
802,A94-1,0.0244,NA
803,A94-2,0.0423,NA
804,A94-3,0.0152,NA
805,A94-4,0.0356,NA
806,A94-5,0.0425,NA
807,A94-6,0.0363,NA
808,A94-7,0.048,NA
809,A94-8,0.0466,NA
810,A94-9,0.0566,NA
811,A95-1,0.0706,NA
812,A95-2,0.1994,NA
813,A95-3,0.0631,NA
814,A95-4,0.099,NA
815,A95-5,0.1219,NA
816,A95-6,0.0912,NA
817,A95-7,0.1041,NA
818,A95-8,0.138,NA
819,A95-9,0.1247,NA
820,A96-1,0.1467,NA
821,A96-2,0.2346,NA
822,A96-3,0.2635,NA
823,A96-4,0.101,NA
824,A96-5,0.3237,NA
825,A96-6,0.2056,NA
826,A96-7,0.0804,NA
827,A96-8,0.4207,NA
828,A96-9,0.1206,NA
829,A97-1,0.0207,NA
830,A97-2,0.0291,NA
831,A97-3,0.0371,NA
832,A97-4,0.0193,NA
833,A97-5,0.0134,NA
834,A97-6,0.03,NA
835,A97-7,0.0356,NA
836,A97-8,0.0161,NA
